Kota Jakarta Selatan,74.03,74.12
Kota Jakarta Timur,74.37,74.47
Kota Jakarta Pusat,74.02,74.11
Kota Jakarta Barat,73.54,73.62
Kota Jakarta Utara,73.18,73.28
JAWA BARAT,72.85,73.04
Bogor,71.01,71.17
Sukabumi,70.73,70.97
Cianjur,69.91,70.13
Bandung,73.4,73.53
Garut,71.22,71.41
Tasikmalaya,69.21,69.47
Ciamis,71.57,71.83
Kuningan,73.35,73.59
Cirebon,71.82,71.99
Majalengka,69.97,70.27
Sumedang,72.29,72.43
Indramayu,71.37,71.63
Subang,72.13,72.35
Purwakarta,70.8,70.99
Karawang,71.98,72.15
Bekasi,73.56,73.68
Bandung Barat,72.18,72.34
Pangandaran,71.12,71.4
Kota Bogor,73.41,73.61
Kota Sukabumi,72.26,72.42
Kota Bandung,74.14,74.28
Kota Cirebon,72.13,72.26
Kota Bekasi,74.89,75.01
Kota Depok,74.31,74.44
Kota Cimahi,73.89,74.03
Kota Tasikmalaya,71.93,72.15
Kota Banjar,70.79,70.99
JAWA TENGAH,74.23,74.37
Cilacap,73.52,73.73
Banyumas,73.55,73.72
Purbalingga,73.02,73.14
Banjarnegara,74.01,74.18
Kebumen,73.22,73.4
Purworejo,74.52,74.72
Wonosobo,71.6,71.82
Magelang,73.56,73.72
Boyolali,75.83,75.95
Klaten,76.68,76.78
Sukoharjo,77.55,77.65
Wonogiri,76.07,76.16
Karanganyar,77.38,77.47
Sragen,75.62,75.71
Grobogan,74.61,74.75
Blora,74.23,74.41
Rembang,74.43,74.55
Pati,76.04,76.22
Kudus,76.5,76.6
Jepara,75.74,75.84
Demak,75.31,75.4
Semarang,75.63,75.73
Temanggung,75.48,75.58
Kendal,74.33,74.43
Batang,74.59,74.69
Pekalongan,73.57,73.69
Pemalang,73.22,73.4
Tegal,71.4,71.6
Brebes,69.04,69.33
Kota Magelang,76.75,76.85
Kota Surakarta,77.12,77.22
Kota Salatiga,77.22,77.4
Kota Semarang,77.25,77.34
Kota Pekalongan,74.28,74.38
Kota Tegal,74.34,74.46
D I YOGYAKARTA,74.92,74.99
Kulon Progo,75.2,75.24
Bantul,73.77,73.86
Gunung Kidul,74.03,74.12
Sleman,74.77,74.81
Kota Yogyakarta,74.56,74.65
JAWA TIMUR,71.18,71.3
Pacitan,71.77,71.94
Ponorogo,72.65,72.77
Trenggalek,73.59,73.75
Tulungagung,73.95,74.08
Blitar,73.39,73.52
Kediri,72.54,72.61
Malang,72.45,72.55
Lumajang,69.94,70.1
Jember,68.99,69.15
Banyuwangi,70.54,70.65
Bondowoso,66.55,66.74
Situbondo,68.97,69.13
Probolinggo,67,67.2
Pasuruan,70.17,70.23
Sidoarjo,73.98,74.04
Mojokerto,72.43,72.53
Jombang,72.27,72.4
Nganjuk,71.44,71.54
Madiun,71.22,71.38
Magetan,72.49,72.59
Ngawi,72.16,72.3
Bojonegoro,71.36,71.56
Tuban,71.26,71.43
Lamongan,72.27,72.4
Gresik,72.61,72.66
Bangkalan,70.11,70.18
Sampang,67.96,68.03
Pamekasan,67.45,67.58
Sumenep,71.22,71.41
Kota Kediri,73.96,74.02
Kota Blitar,73.6,73.75
Kota Malang,73.15,73.27
Kota Probolinggo,70.19,70.29
Kota Pasuruan,71.4,71.52
Kota Mojokerto,73.21,73.32
Kota Madiun,72.75,72.81
Kota Surabaya,74.13,74.18
Kota Batu,72.54,72.61
BANTEN,69.84,69.96
Pandeglang,64.49,64.66
Lebak,67.04,67.21
Tangerang,69.79,69.89
Serang,64.47,64.64
Kota Tangerang,71.57,71.6
Kota Cilegon,66.6,66.67
Kota Serang,67.83,68
Kota Tangerang Selatan,72.41,72.47
BALI,71.99,72.13
Jembrana,72.21,72.35
Tabanan,73.53,73.65
Badung,74.99,75.1
Gianyar,73.56,73.68
Klungkung,71.06,71.25
Bangli,70.37,70.52
Karangasem,70.35,70.47
Buleleng,71.68,71.83
Kota Denpasar,74.68,74.82
NUSA TENGGARA BARAT,66.28,66.51
Lombok Barat,66.64,66.94
Lombok Tengah,65.99,66.21
Lombok Timur,65.74,65.97
Sumbawa,67.31,67.54
Dompu,66.6,66.82
Bima,66.11,66.33
Sumbawa Barat,67.8,68.07
Lombok Utara,66.92,67.17
Kota Mataram,71.59,71.76
Kota Bima,70.2,70.38
NUSA TENGGARA TIMUR,66.85,67.01
Sumba Barat,66.98,67.08
Sumba Timur,64.94,65.13
Kupang,64.39,64.63
Timor Tengah Selatan,66.32,66.42
Timor Tengah Utara,66.86,66.96
Belu,64.35,64.61
Alor,61.29,61.48
Lembata,66.97,67.07
Flores Timur,65.1,65.2
Sikka,67.07,67.24
Ende,65.17,65.29
Ngada,67.96,68.04
Manggarai,66.77,67.03
Rote Ndao,64.34,64.6
Manggarai Barat,67.12,67.38
Sumba Tengah,68.32,68.38
Sumba Barat Daya,68.43,68.53
Nagekeo,67.03,67.13
Manggarai Timur,67.98,68.04
Sabu Raijua,60.23,60.64
Malaka,64.89,64.97
Kota Kupang,69.37,69.55
KALIMANTAN BARAT,70.56,70.69
Sambas,68.83,68.93
Bengkayang,73.67,73.83
Landak,72.7,72.84
Mempawah,70.9,71.04
Sanggau,71.35,71.42
Ketapang,71.01,71.1
Sintang,71.62,71.71
Kapuas Hulu,72.44,72.52
Sekadau,71.65,71.84
Melawi,72.88,72.97
Kayong Utara,68.11,68.28
Kubu Raya,70.43,70.59
Kota Pontianak,72.8,72.96
Kota Singkawang,71.85,72.06
KALIMANTAN TENGAH,69.69,69.74
Kotawaringin Barat,70.51,70.59
Kotawaringin Timur,69.8,69.85
Kapuas,68.69,68.74
Barito Selatan,66.99,67.09
Barito Utara,71.29,71.3
Sukamara,71.49,71.53
Lamandau,69.34,69.36
Seruyan,69.25,69.26
Katingan,65.7,65.78
Pulang Pisau,67.98,68.04
Gunung Mas,70.32,70.4
Barito Timur,68.14,68.22
Murung Raya,69.47,69.51
Kota Palangka Raya,73.19,73.21
KALIMANTAN SELATAN,68.49,68.66
Tanah Laut,69.31,69.45
Kotabaru,69.1,69.21
Banjar,66.97,67.21
Barito Kuala,65.88,66.09
Tapin,70.23,70.4
Hulu Sungai Selatan,65.82,65.97
Hulu Sungai Tengah,65.82,66.01
Hulu Sungai Utara,63.58,63.83
Tabalong,70.33,70.44
Tanah Bumbu,70.08,70.34
Balangan,67.59,67.72
Kota Banjarmasin,70.98,71.13
Kota Banjar Baru,71.87,71.99
KALIMANTAN TIMUR,74.22,74.33
Paser,72.52,72.62
Kutai Barat,72.79,72.86
Kutai Kartanegara,72.21,72.34
Kutai Timur,73.03,73.16
Berau,71.94,72.06
Penajam Paser Utara,71.3,71.41
Mahakam Ulu,71.9,72.1
Kota Balikpapan,74.41,74.49
Kota Samarinda,74.17,74.27
Kota Bontang,74.18,74.28
KALIMANTAN UTARA,72.54,72.59
Malinau,71.42,71.45
Bulungan,72.6,72.66
Tana Tidung,71.38,71.42
Nunukan,71.3,71.34
Kota Tarakan,73.92,73.97
SULAWESI UTARA,71.58,71.69
Bolaang Mongondow,69.22,69.36
Minahasa,70.98,71.08
Kepulauan Sangihe,69.96,70.1
Kepulauan Talaud,70.04,70.16
Minahasa Selatan,69.8,69.92
Minahasa Utara,71.31,71.38
Bolaang Mongondow Utara,67.54,67.66
Siau Tagulandang Biaro,70.54,70.73
Minahasa Tenggara,70.07,70.15
Bolaang Mongondow Selatan,64.45,64.49
Bolaang Mongondow Timur,67.81,67.89
Kota Manado,71.8,71.87
Kota Bitung,71,71.07
Kota Tomohon,71.79,71.93
Kota Kotamobagu,70.33,70.47
SULAWESI TENGAH,68.23,68.69
Banggai Kepulauan,65.71,66.31
Banggai,70.61,70.88
Morowali,68.82,69.18
Poso,70.85,71.18
Donggala,66.85,67.33
Toli-Toli,65.3,65.9
Buol,68.17,68.76
Parigi Moutong,63.94,64.3
Tojo Una-Una,65.14,65.67
Sigi,69.57,69.99
Banggai Laut,64.79,65.38
Morowali Utara,69.19,69.61
Kota Palu,70.68,71.04
SULAWESI SELATAN,70.43,70.57
Kepulauan Selayar,68.34,68.46
Bulukumba,67.69,67.92
Bantaeng,70.42,70.54
Jeneponto,66.24,66.39
Takalar,67.01,67.18
Gowa,70.37,70.43
Sinjai,67.17,67.3
Maros,68.98,69.02
Pangkajene dan Kepulauan,66.49,66.66
Barru,68.91,69.02
Bone,66.88,67.07
Soppeng,69.43,69.65
Wajo,67.17,67.35
Sidenreng Rappang,69.59,69.83
Pinrang,69.39,69.61
Enrekang,70.83,70.91
Luwu,70.19,70.34
Tana Toraja,73.15,73.3
